"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
80912.13456,76595.51632
67453.95127,65984.76899
66882.10883,67867.33661
64019.92159,61176.41383
73351.34186,69014.8732
87322.6149,80173.44812
73129.49242,62602.22107
77118.18985,87757.0252
74163.56685,73588.75073
76469.21718,74836.58861
67511.80208,72610.81261
68618.87607,66448.97699
83483.80425,80517.51076
70258.85839,71491.97059
68544.71095,68138.66177
69071.02332,62086.09451
78984.44441,73127.35162
72652.0967,70569.24927
76194.72924,72200.53027
71972.07439,65613.42097
89035.30408,92831.77872
72440.1063,68401.78104
